frame,timestamp,trunk_sagittal_tilt_deg,trunk_lateral_tilt_deg,pelvic_obliquity_deg,pelvic_tilt_sagittal_deg,pelvis_yaw_deg,shoulder_yaw_deg,pelvis_shoulder_dissociation_deg,hip_flex_R_deg,hip_flex_L_deg,knee_flex_R_deg,knee_flex_L_deg,ankle_dorsi_R_deg,ankle_dorsi_L_deg,hip_rotation_index_deg,shoulder_rotation_index_deg
134,4.4655,-6.9297,-179.0785,-178.2031,-53.603,-178.2031,-179.0785,-0.8754,7.2951,0.6656,171.8641,177.0517,173.2166,171.4109,6.6296,-0.8754
135,4.4989,-7.5422,-178.9292,-177.9447,-50.1538,-177.9447,-178.9292,-0.9845,7.0584,1.4958,172.0146,178.1765,173.643,172.5344,5.5626,-0.9845
136,4.5322,-8.2263,-178.7465,-177.4911,-54.4829,-177.4911,-178.7465,-1.2554,5.942,1.8894,173.4812,179.3434,173.0453,176.9911,4.0527,-1.2554
137,4.5655,-8.8402,-178.7492,-177.1266,-58.3469,-177.1266,-178.7492,-1.6226,4.8271,2.8433,174.527,179.8173,172.9791,178.8377,1.9838,-1.6226
138,4.5988,-8.9668,-178.9408,-176.6758,-58.386,-176.6758,-178.9408,-2.265,2.7126,3.0384,176.803,178.7924,169.9743,175.8667,-0.3259,-2.265
139,4.6322,-9.2385,-179.2615,-176.5533,-57.8664,-176.5533,-179.2615,-2.7083,1.3901,3.2998,178.3172,177.3102,167.6473,173.5529,-1.9097,-2.7083
140,4.6655,-9.4922,-179.2957,-176.2791,-55.0149,-176.2791,-179.2957,-3.0166,0.9382,3.5057,177.9326,175.7649,166.1428,171.3674,-2.5675,-3.0166
141,4.6988,-9.4742,-179.2721,-176.5546,-58.0522,-176.5546,-179.2721,-2.7175,3.6896,4.0245,173.4976,174.7399,163.8348,169.7239,-0.3349,-2.7175
142,4.7321,-9.7235,-179.2418,-176.4571,-58.8248,-176.4571,-179.2418,-2.7846,5.8172,4.3905,169.3913,173.8198,161.0208,168.2696,1.4267,-2.7846
143,4.7655,-9.5452,-179.2221,-176.0898,-64.0562,-176.0898,-179.2221,-3.1323,7.4988,4.8915,166.8233,173.0166,162.4984,167.1878,2.6072,-3.1323
144,4.7988,-9.7276,-179.1099,-176.2395,-66.5678,-176.2395,-179.1099,-2.8704,7.6605,5.302,166.7553,173.0641,163.4617,166.7225,2.3584,-2.8704
145,4.8321,-9.8597,-178.7438,-176.7053,-64.6641,-176.7053,-178.7438,-2.0386,6.3759,5.5344,169.3409,172.416,167.2309,166.0858,0.8415,-2.0386
146,4.8654,-9.4566,-178.3544,-176.8086,-62.8895,-176.8086,-178.3544,-1.5458,5.1706,6.7161,172.4703,172.6933,167.4259,165.3085,-1.5455,-1.5458
147,4.8988,-8.9136,-178.3026,-177.0417,-62.7356,-177.0417,-178.3026,-1.2609,4.2971,7.5591,175.0109,173.2409,166.6193,166.1357,-3.262,-1.2609
148,4.9321,-8.6116,-178.3111,-177.2761,-63.1076,-177.2761,-178.3111,-1.035,2.8934,7.713,177.875,172.393,168.2875,164.3443,-4.8196,-1.035
149,4.9654,-8.3717,-178.2859,-176.9764,-65.6749,-176.9764,-178.2859,-1.3095,2.123,8.4491,179.7968,173.2332,169.059,164.333,-6.3261,-1.3095
150,4.9987,-7.8659,-178.2394,-177.1986,-65.6697,-177.1986,-178.2394,-1.0407,0.9257,9.3549,177.2652,173.7061,172.6494,163.6798,-8.4292,-1.0407
